كما,sepertimana
صلَّيتَ,Engkau telah sejahterakan
على سيِّدنا إبراهيم,ke atas (Nabi) Ibrahim
وعلى آل سيِّدنا إبراهيم,dan ke atas keluarga (Nabi) Ibrahim
ْوبارِك,dan berkatilah
على سيِّدنا محمَّد,ke atas (Nabi) Muhammad
وعلى آل سيِّدنا محمَّد,dan ke atas keluarga (Nabi) Muhammad
كما,sepertimana
َباركْت,Engkau telah berkati
على سيِّدنا إبراهيم,ke atas (Nabi) Ibrahim
وعلى آل سيِّدنا إبراهيم,dan ke atas keluarga (Nabi) Ibrahim
في العالمين,Pada semesta alam
إنَّك,sesungguhnya Engkau
ٌحميدٌ مَّجيد,"Maha Terpuji (lagi) Maha Tinggi"
